codigo1;descricao1;codigo2;descricao2;codigo3;descricao3;codigo4;descricao4;est_atend;Un_med;Un_con;Fator;Est_aqui;Capacidade;Ciclo;Velocidade;Acessorios
PRP126;SUPERPRO;BT0013;LINHA PROFISSIONAL;C9499;ESFREBOM LIMPEZA PESADA SUPERPRO - 1X60;;;;;;1;;;;;
MAP018;PAD;CORPORATIV;CORPORATIVO;2003043;PAD DUBLADO 000045 000066 000073;;;;;;1;;;;;
PRP028;FIBRAS;BT0013;LINHA PROFISSIONAL;C9465;FIBRA AZUL 25 MM X 50 M;;;;;;1;;;;;
SEM020;COMPONENTES INJETADO;CORPORATIV;CORPORATIVO;2000693;CONE ADAPTADOR CABO TELESCOPICO;;;;;;1;;;;;
SCO006;EXPOSITORES;CORPORATIV;CORPORATIVO;12000223;BT EXPOSITOR MIX VAREJO EXP;;;;;;1;;;;;
PRP026;EXPOSITORES;CORPORATIV;CORPORATIVO;12001603;BT CESTO VASSOURAS EXP;;;;;;1;;;;;
SCO006;EXPOSITORES;CORPORATIV;CORPORATIVO;5002097;BT BOBINA EXP;;;;;;1;;;;;
SCO006;EXPOSITORES;CORPORATIV;CORPORATIVO;5002099;BT CLIP STRIP EXP;;;;;;1;;;;;
GER027;DIVERSOS;CORPORATIV;CORPORATIVO;5002912;BT FAIXA DE GONDOLA ESFREBOM EXP 1X20;;;;;;1;;;;;
GER027;DIVERSOS;CORPORATIV;CORPORATIVO;5002911;BT FAIXA DE GONDOLA NOVICA EXP 1X20;;;;;;1;;;;;
GER027;DIVERSOS;CORPORATIV;CORPORATIVO;5002901;BT PRECIFICADOR ESFREBOM EXP 1X20;;;;;;1;;;;;
GER027;DIVERSOS;CORPORATIV;CORPORATIVO;5002060;BT PRECIFICADOR EXP;;;;;;1;;;;;
PRP022;ESFREBOM;CORPORATIV;CORPORATIVO;5002862;BOBINA FORRACAO ESFREBOM 60X15X7000 1X2;;;;;;1;;;;;
SCO007;PROMOCIONAL;CORPORATIV;CORPORATIVO;12002212;TIRA CROSS VASSOURA EXP - 1 X 25;;;;;;1;;;;;
SCO007;PROMOCIONAL;CORPORATIV;CORPORATIVO;12002213;TIRA CROSS BETTAJEANS EXP - 1 X 25;;;;;;1;;;;;
GER027;DIVERSOS;CORPORATIV;CORPORATIVO;5002915;BT PRECIFICADOR NOVICA EXP 1X20;;;;;;1;;;;;
SEM014;CEPAS DE VASSOURAS;CORPORATIV;CORPORATIVO;2004075;GANCHO/LUVA VERMELHO BI COMPONENTE;;;;;;1;;;;;
SEM041;PONTEIRAS DE CABOS;CORPORATIV;CORPORATIVO;2000706;GANCHO/LUVA BI COMPONENTE;;;;;;1;;;;;
EMB002;ACESSORIOS MI;CORPORATIV;CORPORATIVO;4008320;AC 551 - B;;;;;;1;;;;;
SCO006;EXPOSITORES;CORPORATIV;CORPORATIVO;12000225;BT EXPOSITOR ARAMADO GRANDE EXP;;;;;;1;;;;;
PRP026;EXPOSITORES;CORPORATIV;CORPORATIVO;12001605;BT EXPOSITOR DE GONDOLA EXP;;;;;;1;;;;;
GER027;DIVERSOS;CORPORATIV;CORPORATIVO;12001911;BT DISPLAY DE GONDOLA NOVICA EXP 1X10;;;;;;1;;;;;
GER027;DIVERSOS;CORPORATIV;CORPORATIVO;5002913;BT CLIP STRIP NOVICA EXP 1X25;;;;;;1;;;;;
SCO006;EXPOSITORES;CORPORATIV;CORPORATIVO;5002098;BT HANG TAB EXP;;;;;;1;;;;;
SCO006;EXPOSITORES;CORPORATIV;CORPORATIVO;5002093;BT STOPPER EXP;;;;;;1;;;;;
SCO007;PROMOCIONAL;CORPORATIV;CORPORATIVO;5003074;STOPPER ESFREBOM EXP 1X20;;;;;;1;;;;;
SCO007;PROMOCIONAL;CORPORATIV;CORPORATIVO;5003073;DESTACA PRECO ESFREBOM EXP 1X20;;;;;;1;;;;;
MAP016;MONOFILAMENTO;CORPORATIV;CORPORATIVO;3002331;CABELO VACUM SALAMINHO BRANCO;;;;;;1;;;;;
PRP028;FIBRAS;BT0013;LINHA PROFISSIONAL;C9468;FIBRA MUITO FINA VERM. MF 280X230-1X100;;;;;;1;;;;;
MAP032;TERMOPLASTICOS VIRGE;CORPORATIV;CORPORATIVO;3000937;PP H 117;;;;;;1;;;;;
MAP032;TERMOPLASTICOS VIRGE;CORPORATIV;CORPORATIVO;3000939;PP H 301;;;;;;1;;;;;
PRP026;EXPOSITORES;CORPORATIV;CORPORATIVO;12001601;BT EXPOSITOR TURBILHAO EXP;;;;;;1;;;;;
SCO006;EXPOSITORES;CORPORATIV;CORPORATIVO;12001123;BT CAIXA EXPOSITORA ESPONJAS EXP;;;;;;1;;;;;
SCO006;EXPOSITORES;CORPORATIV;CORPORATIVO;12002300;TIRA CROSS VASSOURA EXP - 1 X 50;;;;;;1;;;;;
GER027;DIVERSOS;CORPORATIV;CORPORATIVO;12002273;GRAVATA CABO MAXPROTECT EXP - 1X50;;;;;;1;;;;;
SCO006;EXPOSITORES;CORPORATIV;CORPORATIVO;12000087;EXPOSITOR PQ VAREJO/2 CESTOS 780 - 1X1;;;;;;1;;;;;
SCO006;EXPOSITORES;CORPORATIV;CORPORATIVO;12002289;TIRA CROSS BETTAJEANS EXP - 1 X 25;;;;;;1;;;;;
PRP026;EXPOSITORES;CORPORATIV;CORPORATIVO;12001602;BT EXPOSITOR MOP EXP;;;;;;1;;;;;
SCO006;EXPOSITORES;CORPORATIV;CORPORATIVO;12000262;BT EXPOSITOR PAPELAO PARA EXPONJAS EXP;;;;;;1;;;;;
SCO006;EXPOSITORES;CORPORATIV;CORPORATIVO;12001223;BT EXPOSITOR PRATELEIRA ESFREBOM EXP;;;;;;1;;;;;
MAP032;TERMOPLASTICOS VIRGE;CORPORATIV;CORPORATIVO;3000984;PS CRISTAL 1841;;;;;;1;;;;;
SEM020;COMPONENTES INJETADO;CORPORATIV;CORPORATIVO;2000805;PUNHO DIAMETRO 25,4 MM;;;;;;1;;;;;
SEM020;COMPONENTES INJETADO;CORPORATIV;CORPORATIVO;2000804;PUNHO DIAMETRO 22 MM;;;;;;1;;;;;
SCO006;EXPOSITORES;CORPORATIV;CORPORATIVO;5002094;BT FITA OFERTA ESPECIAL EXP;;;;;;1;;;;;
GER027;DIVERSOS;CORPORATIV;CORPORATIVO;12001781;ILHA NOVICA/ESFREBOM 4L - 1X1;;;;;;1;;;;;
MAP036;DIVERSOS;CORPORATIV;CORPORATIVO;3001092;ROSCA NYLON PRETA CABO ATLAS;;;;;;1;;;;;
SCO006;EXPOSITORES;CORPORATIV;CORPORATIVO;12001225;BT EXPOSITOR SPA EXP;;;;;;1;;;;;
SEM010;CABOS DE CHAPA;CORPORATIV;CORPORATIVO;2000626;CABO 144;;;;;;1;;;;;
SEM010;CABOS DE CHAPA;CORPORATIV;CORPORATIVO;2000622;CABO 12;;;;;;1;;;;;
SEM020;COMPONENTES INJETADO;CORPORATIV;CORPORATIVO;2000828;SUPORTE 567;;;;;;1;;;;;
GER006;CAMISA;CORPORATIV;CORPORATIVO;5001472;CAMISA RETARDANTE NR10 TAM M;;;;;;1;;;;;
GER006;CAMISA;CORPORATIV;CORPORATIVO;5001473;CAMISA RETARDANTE NR10 TAM GG;;;;;;1;;;;;
GER004;CALCA;CORPORATIV;CORPORATIVO;5001477;CALCA RETARDANTE NR10 TAM XG;;;;;;1;;;;;
GER006;CAMISA;CORPORATIV;CORPORATIVO;5001471;CAMISA RETARDANTE NR10 TAM P;;;;;;1;;;;;
GER006;CAMISA;CORPORATIV;CORPORATIVO;5001470;CAMISA RETARDANTE NR10 TAM XG;;;;;;1;;;;;
GER004;CALCA;CORPORATIV;CORPORATIVO;5001451;CALCA RETARDANTE NR10 TAM G;;;;;;1;;;;;
GER006;CAMISA;CORPORATIV;CORPORATIVO;5001474;CAMISA RETARDANTE NR10 TAM G;;;;;;1;;;;;
GER004;CALCA;CORPORATIV;CORPORATIVO;5001475;CALCA RETARDANTE NR10 TAM M;;;;;;1;;;;;
GER004;CALCA;CORPORATIV;CORPORATIVO;5001450;CALCA RETARDANTE NR10 TAM GG;;;;;;1;;;;;
GER004;CALCA;CORPORATIV;CORPORATIVO;5001476;CALCA RETARDANTE NR10 TAM P;;;;;;1;;;;;
MAP016;MONOFILAMENTO;CORPORATIV;CORPORATIVO;2005740;CABELO SALAMINHO TERCERIZADO;;;;;;1;;;;;
MAP022;PIGMENTOS MASTER;CORPORATIV;CORPORATIVO;3000670;PIG MASTER AMARELO AMIN223# /489 - Ut. 2;;;;;;1;;;;;
EMB015;ETIQUESTAS PRO;CORPORATIV;CORPORATIVO;4002373;ETIQ 9019 - PRO;;;;;;1;;;;;
MAP032;TERMOPLASTICOS VIRGE;CORPORATIV;CORPORATIVO;3000608;PEBD 608 INJECAO / EXTRUSAO;;;;;;1;;;;;
SCO006;EXPOSITORES;CORPORATIV;CORPORATIVO;12000022;CESTO P/ VASSOURAS 716 - 1X1;;;;;;1;;;;;
EMB034;SACOS IMPRESSOS MI;CORPORATIV;CORPORATIVO;4008410;SACO PEBD 36 X 53 X 0,10 MM;;;;;;1;;;;;
SCO007;PROMOCIONAL;CORPORATIV;CORPORATIVO;12002143;DISPLAY BRILHUS 9 ESCOVAS 1X5;;;;;;1;;;;;
