codigo_pedido;data_pedido;data_entrega;codigo_produto 1;codigo_produto 2;codigo_produto 3;codigo_produto4;quantidade;codigo_canal 1;codigo_canal 2;codigo_canal 3;codigo_canal 4;sts
1;01/05/2018;01/05/2018;PRP025;BT0008;4544D144;;30240;10-50-60;3050;2003131B;2003131;
2;01/05/2018;01/05/2018;PRP067;BT0024;BTN1671;;7392;10-50-60;3050;2003131B;2003131;
3;01/05/2018;01/05/2018;PRP108;BT0008;BT307;;3144;10-50-60;3050;2003131B;2003131;
4;01/05/2018;01/05/2018;PRP077;BT0024;42;;12000;10-50-60;3050;2003131B;2003131;
5;01/05/2018;01/05/2018;PRP046;BT0008;BT5005;;2880;10-50-60;3050;2003131B;2003131;
6;01/05/2018;01/05/2018;PRP138;BT0024;BT1912;;420;10-50-60;3050;2003131B;2003131;
7;01/05/2018;01/05/2018;PRP108;BT0008;BT306;;3420;10-50-60;3050;2003131B;2003131;
8;01/05/2018;01/05/2018;PRP138;BT0061;BT2051;;514;10-50-60;3050;2003131B;2003131;
9;01/05/2018;01/05/2018;PRP138;BT0024;BTN1442144;;810;10-50-60;3050;2003131B;2003131;
10;01/05/2018;01/05/2018;PRP055;BT0024;BTN1291;;1728;10-50-60;3050;2003131B;2003131;
11;01/05/2018;01/05/2018;PRP138;BT0024;1442;;576;10-50-60;3050;2003131B;2003131;
12;01/05/2018;01/05/2018;PRP138;BT0024;144R;;1320;10-50-60;3050;2003131B;2003131;
13;01/05/2018;01/05/2018;PRP047;BT0024;BT120;;1560;10-50-60;3050;2003131B;2003131;
14;01/05/2018;01/05/2018;PRP025;BT0008;BT4508;;2880;10-50-60;3050;2003131B;2003131;
15;01/05/2018;01/05/2018;PRP066;BT0024;BTN1841;;496;10-50-60;3050;2003131B;2003131;
16;01/05/2018;01/05/2018;PRP055;BT0024;BTN1301;;864;10-50-60;3050;2003131B;2003131;
17;01/05/2018;01/05/2018;PRP108;BT0008;BT308;;1152;10-50-60;3050;2003131B;2003131;
18;01/05/2018;01/05/2018;PRP138;BT0024;138R;;972;10-50-60;3050;2003131B;2003131;
19;01/05/2018;01/05/2018;PRP047;BT0024;145;;3456;10-50-60;3050;2003131B;2003131;
20;01/05/2018;01/05/2018;PRP067;BT0024;BTN1691;;1200;10-50-60;3050;2003131B;2003131;
21;01/05/2018;01/05/2018;PRP047;BT0024;150;;864;10-50-60;3050;2003131B;2003131;
22;01/05/2018;01/05/2018;PRP021;BT0059;565;;1536;10-50-60;3050;2003131B;2003131;
23;01/05/2018;01/05/2018;PRP046;BT0008;BTN49060;;2500;10-50-60;3050;2003131B;2003131;
24;01/05/2018;01/05/2018;PRP001;BT0008;BT3503;;1440;10-50-60;3050;2003131B;2003131;
25;01/05/2018;01/05/2018;PRP021;BT0024;11518;;3456;10-50-60;3050;2003131B;2003131;
26;01/05/2018;01/05/2018;PRP138;BT0024;132R;;1080;10-50-60;3050;2003131B;2003131;
27;01/05/2018;01/05/2018;PRP055;BT0024;BTN1271;;1536;10-50-60;3050;2003131B;2003131;
28;01/05/2018;01/05/2018;PRP025;BT0008;4523;;2520;10-50-60;3050;2003131B;2003131;
29;01/05/2018;01/05/2018;PRP021;BT0024;11412;;1728;10-50-60;3050;2003131B;2003131;
30;01/05/2018;01/05/2018;PRP108;BT0008;BT303;;2160;10-50-60;3050;2003131B;2003131;
31;01/05/2018;01/05/2018;PRP021;BT0059;566;;576;10-50-60;3050;2003131B;2003131;
32;01/05/2018;01/05/2018;PRP021;BT0024;113;;2592;10-50-60;3050;2003131B;2003131;
33;01/05/2018;01/05/2018;PRP067;BT0024;BTN1181;;744;10-50-60;3050;2003131B;2003131;
34;01/05/2018;01/05/2018;PRP025;BT0008;4563;;2160;10-50-60;3050;2003131B;2003131;
35;01/05/2018;01/05/2018;PRP067;BT0024;BTN1641;;672;10-50-60;3050;2003131B;2003131;
36;01/05/2018;01/05/2018;PRP021;BT0024;21526;;3120;10-50-60;3050;2003131B;2003131;
37;01/05/2018;01/05/2018;PRP025;BT0010;46512;;2880;10-50-60;3050;2003131B;2003131;
38;01/05/2018;01/05/2018;PRP138;BT0024;BT1972;;108;10-50-60;3050;2003131B;2003131;
39;01/05/2018;01/05/2018;PRP138;BT0024;BT1902;;54;10-50-60;3050;2003131B;2003131;
40;01/05/2018;01/05/2018;PRP025;BT0008;47812;;2520;10-50-60;3050;2003131B;2003131;
41;01/05/2018;01/05/2018;PRP108;BT0008;BT302;;1620;10-50-60;3050;2003131B;2003131;
42;01/05/2018;01/05/2018;PRP021;BT0024;112;;1296;10-50-60;3050;2003131B;2003131;
43;01/05/2018;01/05/2018;PRP138;BT0024;135R;;216;10-50-60;3050;2003131B;2003131;
44;01/05/2018;01/05/2018;PRP025;BT0010;4673;;1344;10-50-60;3050;2003131B;2003131;
45;01/05/2018;01/05/2018;PRP021;BT0024;BT250;;1296;10-50-60;3050;2003131B;2003131;
46;01/05/2018;01/05/2018;PRP001;BT0008;3215;;1224;10-50-60;3050;2003131B;2003131;
47;01/05/2018;01/05/2018;PRP025;BT0010;46412;;1680;10-50-60;3050;2003131B;2003131;
48;01/05/2018;01/05/2018;PRP047;BT0061;BT2020;;1728;10-50-60;3050;2003131B;2003131;
49;01/05/2018;01/05/2018;PRP138;BT0024;BT1922;;120;10-50-60;3050;2003131B;2003131;
50;01/05/2018;01/05/2018;PRP077;BT0024;45;;360;10-50-60;3050;2003131B;2003131;
51;01/05/2018;01/05/2018;PRP046;BT0008;BT4981;;576;10-50-60;3050;2003131B;2003131;
52;01/05/2018;01/05/2018;PRP138;BT0024;1392;;324;10-50-60;3050;2003131B;2003131;
53;01/05/2018;01/05/2018;PRP021;BT0010;850;;576;10-50-60;3050;2003131B;2003131;
54;01/05/2018;01/05/2018;PRP108;BT0008;BT304;;720;10-50-60;3050;2003131B;2003131;
55;01/05/2018;01/05/2018;PRP055;BT0008;611;;240;10-50-60;3050;2003131B;2003131;
56;01/05/2018;01/05/2018;PRP001;BT0008;107;;192;10-50-60;3050;2003131B;2003131;
57;01/05/2018;01/05/2018;PRP047;BT0024;BT12;;216;10-50-60;3050;2003131B;2003131;
58;01/05/2018;01/05/2018;PRP138;BT0024;BT1450;;324;10-50-60;3050;2003131B;2003131;
59;01/05/2018;01/05/2018;PRP138;BT0024;BT191R;;60;10-50-60;3050;2003131B;2003131;
60;01/05/2018;01/05/2018;PRP001;BT0008;110;;60;10-50-60;3050;2003131B;2003131;
61;01/05/2018;01/05/2018;PRP047;BT0024;BT140;;72;10-50-60;3050;2003131B;2003131;
62;01/05/2018;01/05/2018;PRP138;BT0024;BT1980;;72;10-50-60;3050;2003131B;2003131;
63;01/05/2018;01/05/2018;PRP138;BT0024;BT192R;;72;10-50-60;3050;2003131B;2003131;
64;01/05/2018;01/05/2018;PRP067;BT0024;BT1672M4;;15300;10-50-60;3050;2029650B;2028080;
65;01/05/2018;01/05/2018;PRP025;BT0008;BT002K;;17050;10-50-60;3050;2029650B;2028080;
66;01/05/2018;01/05/2018;PRP067;BT0024;BT167215;;8280;10-50-60;3050;2029650B;2028080;
67;01/05/2018;01/05/2018;PRP025;BT0008;4544;;8940;10-50-60;3050;2029650B;2028080;
68;01/05/2018;01/05/2018;PRP001;BT0024;BT203;;1080;10-50-60;3050;2029650B;2028080;
69;01/05/2018;01/05/2018;PRP067;BT0052;BT2003WM;;1800;10-50-60;3050;2029650B;2028080;
70;01/05/2018;01/05/2018;PRP025;BT0008;4563;;3600;10-50-60;3050;2029650B;2028080;
71;01/05/2018;01/05/2018;PRP055;BT0024;1302;;480;10-50-60;3050;2029650B;2028080;
72;01/05/2018;01/05/2018;PRP138;BT0024;BT1912;;120;10-50-60;3050;2029650B;2028080;
73;01/05/2018;01/05/2018;PRP025;BT0008;450120;;12000;10-50-60;3050;2029650B;2028080;
74;01/05/2018;01/05/2018;PRP138;BT0061;BT2024;;420;10-50-60;3050;2029650B;2028080;
75;01/05/2018;01/05/2018;PRP055;BT0052;BT2028WM;;1296;10-50-60;3050;2029650B;2028080;
76;01/05/2018;01/05/2018;PRP138;BT0024;1322;;540;10-50-60;3050;2029650B;2028080;
77;01/05/2018;01/05/2018;PRP138;BT0024;1442;;222;10-50-60;3050;2029650B;2028080;
78;01/05/2018;01/05/2018;PRP066;BT0024;1842;;240;10-50-60;3050;2029650B;2028080;
79;01/05/2018;01/05/2018;PRP025;BT0008;BT4508;;1560;10-50-60;3050;2029650B;2028080;
80;01/05/2018;01/05/2018;PRP138;BT0024;BT1902;;54;10-50-60;3050;2029650B;2028080;
81;01/05/2018;01/05/2018;PRP138;BT0061;BTN2024R;;528;10-50-60;3050;2029650B;2028080;
82;01/05/2018;01/05/2018;PRP055;BT0024;1272;;660;10-50-60;3050;2029650B;2028080;
